beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
Galactica,Clown Shoes,Ipswich,MA,American Double / Imperial IPA,,139,90,,4.05,N/A,8.00%,92
Hoppy Feet 1.5,Clown Shoes,Ipswich,MA,American Black Ale,,139,91,,4.07,N/A,10.00%,431
Tramp Stamp,Clown Shoes,Ipswich,MA,Belgian IPA,Belgian,139,88,,3.92,70,7.00%,562
Vampire Slayer,Clown Shoes,Ipswich,MA,American Double / Imperial Stout,,139,92,,4.14,N/A,10.00%,618
Newport Storm - Will (Cyclone Series),Coastal Extreme Brewing Co.,Newport,RI,American IPA,,44,N/A,,3.32,78,7.80%,5
Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co.,Newport,RI,American Amber / Red Ale,,44,74,,3.2,64,5.20%,176
Newport Storm India Point Ale,Coastal Extreme Brewing Co.,Newport,RI,American IPA,,44,87,,3.96,90,6.50%,20
Newport Storm Rhode Island Blueberry,Coastal Extreme Brewing Co.,Newport,RI,Fruit / Vegetable Beer,,44,77,,3.34,70,4.60%,81
Newport Storm Summer Hefeweizen,Coastal Extreme Brewing Co.,Newport,RI,Hefeweizen,,44,77,,3.17,80,4.50%,14
Honey Gingah Pale Ale,Cody Brewing Company,Amesbury,MA,American Pale Ale (APA),,41,83,,3.65,N/A,4.50%,13
No Name IPA,Cody Brewing Company,Amesbury,MA,American IPA,,41,74,,3.12,N/A,5.50%,48
Original Amber Ale,Cody Brewing Company,Amesbury,MA,American Amber / Red Ale,,41,83,,3.69,N/A,5.90%,17
S.O.S.,Cody Brewing Company,Amesbury,MA,Belgian IPA,Belgian,41,84,,3.76,N/A,5.50%,39
Wheelers Brown,Cody Brewing Company,Amesbury,MA,American Brown Ale,,41,80,,3.43,N/A,5.70%,25
Cara De Luna Black Ale,Crazy Mountain Brewing Company,Edwards,CO,American Black Ale,,83,N/A,,3.78,N/A,5.50%,8
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,Edwards,CO,American Amber / Red Ale,,83,80,,3.51,N/A,5.25%,70
Lava Lake Wit,Crazy Mountain Brewing Company,Edwards,CO,Witbier,,83,76,,3.26,N/A,5.20%,42
Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,Edwards,CO,American Pale Ale (APA),,83,79,,3.45,N/A,6.00%,76
Geary's Hampshire Special Ale,D.L. Geary Brewing Company,Portland,ME,English Strong Ale,,15,89,,3.96,98,7.00%,450
Geary's IPA,D.L. Geary Brewing Company,Portland,ME,English India Pale Ale (IPA),,15,78,,3.39,N/A,6.00%,47
Geary's London Porter,D.L. Geary Brewing Company,Portland,ME,English Porter,,15,85,,3.76,92,4.20%,210
Geary's Summer Ale,D.L. Geary Brewing Company,Portland,ME,K̦lsch,,15,83,,3.65,92,6.00%,203
On The Wings Of Armageddon,DC Brau Brewing Co.,Washington,DC,American Double / Imperial IPA,,59,98,,4.45,N/A,9.20%,231
Penn Quarter Porter,DC Brau Brewing Co.,Washington,DC,American Porter,,59,87,,3.89,N/A,5.50%,107
The Citizen,DC Brau Brewing Co.,Washington,DC,Belgian Pale Ale,Belgian,59,81,,3.57,86,7.00%,118
The Corruption,DC Brau Brewing Co.,Washington,DC,American IPA,,59,89,,3.98,93,6.50%,243
The Public Ale,DC Brau Brewing Co.,Washington,DC,American Pale Ale (APA),,59,88,,3.91,95,6.00%,215
Yonder Cities,DC Brau Brewing Co.,Washington,DC,Belgian IPA,Belgian,59,93,,4.35,N/A,6.70%,33
Burton Baton,Dogfish Head Brewery,Milton,DE,American Double / Imperial IPA,,51,94,,4.24,92,10.00%,3561
Festina P̻che,Dogfish Head Brewery,Milton,DE,Berliner Weissbier,,51,82,,3.63,94,4.50%,2123
Robert Johnson's Hellhound On My Ale,Dogfish Head Brewery,Milton,DE,American Double / Imperial IPA,,51,88,,3.92,93,10.00%,1205
Sah'tea,Dogfish Head Brewery,Milton,DE,Sahti,,51,88,,3.93,N/A,9.00%,1161
Sixty-One (61),Dogfish Head Brewery,Milton,DE,American IPA,,51,81,,3.57,90,6.50%,562
Tweason'ale,Dogfish Head Brewery,Milton,DE,Fruit / Vegetable Beer,,51,71,,3.08,83,6.00%,734
6:56 2012 - Double Extra Special Oak,Element Brewing Company,Millers Falls,MA,English Strong Ale,,133,N/A,,0,N/A,15.00%,0
Dark Element,Element Brewing Company,Millers Falls,MA,American Black Ale,,133,91,,4.08,90,8.00%,115
Extra Special Oak (ESO),Element Brewing Company,Millers Falls,MA,English Strong Ale,,133,87,,3.89,94,7.75%,55
Plasma,Element Brewing Company,Millers Falls,MA,American IPA,,133,N/A,,3.28,N/A,9.33%,4
Red Giant,Element Brewing Company,Millers Falls,MA,American Amber / Red Ale,,133,89,,4.03,97,8.00%,70
Summer Pilsner Fusion,Element Brewing Company,Millers Falls,MA,American Double / Imperial Pilsner,,133,87,,3.94,95,8.80%,21
Cosmos,Enlightenment Ales,Lowell,MA,Foreign / Export Stout,,124,89,,4.09,N/A,7.50%,20
Day Trip (Extra Hoppy Golden Ale),Enlightenment Ales,Lowell,MA,Belgian Pale Ale,Belgian,124,N/A,,4.02,N/A,4.70%,4
Enlightenment Brut (Bi̬re De Champagne),Enlightenment Ales,Lowell,MA,Bi̬re de Champagne / Bi̬re Brut,,124,91,,4.24,N/A,11.00%,27
Illumination (Farmhouse IPA),Enlightenment Ales,Lowell,MA,Belgian IPA,Belgian,124,90,,4.12,N/A,6.80%,37
Rite Of Spring,Enlightenment Ales,Lowell,MA,Saison / Farmhouse Ale,,124,90,,4.21,N/A,6.80%,16
Big Black Wit (Brewhouse Rarities),Flying Dog Brewery,Frederick,MD,Witbier,,22,N/A,,3.72,N/A,7.00%,9
Easy IPA (Brewhouse Rarities),Flying Dog Brewery,Frederick,MD,American IPA,,22,N/A,,4.28,N/A,4.20%,8
Raging Bitch Belgian-Style IPA,Flying Dog Brewery,Frederick,MD,Belgian IPA,Belgian,22,89,,3.95,72,8.30%,2101
Single Hop Imperial IPA (Citra),Flying Dog Brewery,Frederick,MD,American Double / Imperial IPA,,22,91,,4.11,88,10.00%,110
UnderDog Atlantic Lager,Flying Dog Brewery,Frederick,MD,American Pale Lager,,22,81,,3.55,N/A,4.70%,291
Native Brown Ale,Foley Brothers Brewing,Brandon,VT,American Brown Ale,,74,83,,3.64,N/A,7.20%,10
Native Ginger Wheat,Foley Brothers Brewing,Brandon,VT,American Pale Wheat Ale,,74,85,,3.81,N/A,6.30%,14
Native IPA,Foley Brothers Brewing,Brandon,VT,American IPA,,74,N/A,,4,N/A,7.00%,1
Redbeards Ale,Foley Brothers Brewing,Brandon,VT,American Strong Ale,,74,N/A,,2.25,N/A,9.00%,1
