Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Aboriginal Gangster,Burley Oak Brewery,"Berlin, MD",2,86,3.9,19,N/A,American IPA,7.50%,http://beeradvocate.com/beer/profile/26749/82156
Honey Comb (Barrel Fermented),Burley Oak Brewery,"Berlin, MD",2,N/A,4.17,3,N/A,Belgian Pale Ale,5.00%,http://beeradvocate.com/beer/profile/26749/92748
Pale Ryeder,Burley Oak Brewery,"Berlin, MD",2,87,3.94,18,N/A,American Double / Imperial IPA,10.00%,http://beeradvocate.com/beer/profile/26749/82157
Rude Boy,Burley Oak Brewery,"Berlin, MD",2,85,3.81,19,N/A,American Amber / Red Ale,8.00%,http://beeradvocate.com/beer/profile/26749/77202
The Brunette,Burley Oak Brewery,"Berlin, MD",2,N/A,4.58,3,N/A,Belgian Strong Dark Ale,8.50%,http://beeradvocate.com/beer/profile/26749/93390
Flower Child IPA,Cambridge Brewing Company,"Cambridge, MA",122,90,4.13,42,N/A,American IPA,6.50%,http://beeradvocate.com/beer/profile/14/62529
Hefeweizen,Cambridge Brewing Company,"Cambridge, MA",122,91,4.15,54,93,Hefeweizen,6.00%,http://beeradvocate.com/beer/profile/14/507
Mellow Gold,Cambridge Brewing Company,"Cambridge, MA",122,88,4.09,17,N/A,American Wild Ale,4.70%,http://beeradvocate.com/beer/profile/14/93285
Sgt. Pepper,Cambridge Brewing Company,"Cambridge, MA",122,83,3.68,145,N/A,Saison / Farmhouse Ale,6.00%,http://beeradvocate.com/beer/profile/14/48526
The Audacity Of Hops,Cambridge Brewing Company,"Cambridge, MA",122,91,4.09,230,N/A,Belgian IPA,8.00%,http://beeradvocate.com/beer/profile/14/45878
The Cure,Cambridge Brewing Company,"Cambridge, MA",122,N/A,0,0,N/A,American Double / Imperial IPA,7.50%,http://beeradvocate.com/beer/profile/14/93286
Tripel Threat,Cambridge Brewing Company,"Cambridge, MA",122,87,3.87,126,N/A,Tripel,9.60%,http://beeradvocate.com/beer/profile/14/2599
Fisherman's Dead Eye Double IPA,Cape Ann Brewing Company,"Gloucester, MA",14,94,4.48,22,N/A,American Double / Imperial IPA,9.00%,http://beeradvocate.com/beer/profile/8325/79028
Fisherman's IPA,Cape Ann Brewing Company,"Gloucester, MA",14,78,3.43,173,N/A,American IPA,6.00%,http://beeradvocate.com/beer/profile/8325/26501
Fisherman's Pilsner,Cape Ann Brewing Company,"Gloucester, MA",14,N/A,0,0,N/A,German Pilsener,5.00%,http://beeradvocate.com/beer/profile/8325/93394
Fisherman's Sunrise Saison,Cape Ann Brewing Company,"Gloucester, MA",14,83,3.66,35,N/A,Saison / Farmhouse Ale,6.50%,http://beeradvocate.com/beer/profile/8325/61378
Cape Cod Beach Blonde,Cape Cod Beer,"Hyannis, MA",85,81,3.52,37,N/A,American Blonde Ale,4.90%,http://beeradvocate.com/beer/profile/9602/61249
Cape Cod IPA,Cape Cod Beer,"Hyannis, MA",85,85,3.79,75,83,American IPA,6.00%,http://beeradvocate.com/beer/profile/9602/17593
Cape Cod Porter,Cape Cod Beer,"Hyannis, MA",85,89,4.17,17,N/A,American Porter,5.50%,http://beeradvocate.com/beer/profile/9602/26895
Cape Cod Red,Cape Cod Beer,"Hyannis, MA",85,84,3.74,66,N/A,American Amber / Red Ale,5.50%,http://beeradvocate.com/beer/profile/9602/17592
Cape Cod Summer,Cape Cod Beer,"Hyannis, MA",85,86,3.88,30,N/A,Hefeweizen,5.00%,http://beeradvocate.com/beer/profile/9602/24420
Baggywrinkle Barleywine,Cisco Brewers Inc.,"Nantucket, MA",21,80,3.49,106,83,English Barleywine,12.00%,http://beeradvocate.com/beer/profile/261/2237
Grey Lady,Cisco Brewers Inc.,"Nantucket, MA",21,82,3.6,259,N/A,Witbier,4.50%,http://beeradvocate.com/beer/profile/261/40490
Island Reserve: Rumple Drumkin,Cisco Brewers Inc.,"Nantucket, MA",21,N/A,3.46,3,N/A,Pumpkin Ale,6.00%,http://beeradvocate.com/beer/profile/261/93562
Island Reserve: Tripel,Cisco Brewers Inc.,"Nantucket, MA",21,84,3.72,28,N/A,Tripel,9.50%,http://beeradvocate.com/beer/profile/261/80566
Summer Of Lager,Cisco Brewers Inc.,"Nantucket, MA",21,84,3.7,145,84,Munich Helles Lager,5.60%,http://beeradvocate.com/beer/profile/261/925
Whale's Tale Pale Ale,Cisco Brewers Inc.,"Nantucket, MA",21,83,3.69,656,87,English Pale Ale,5.60%,http://beeradvocate.com/beer/profile/261/1439
Crunkle Sam,Clown Shoes,"Ipswich, MA",139,N/A,4.6,1,N/A,American Barleywine,11.00%,http://beeradvocate.com/beer/profile/22951/93433
Galactica,Clown Shoes,"Ipswich, MA",139,90,4.05,92,N/A,American Double / Imperial IPA,8.00%,http://beeradvocate.com/beer/profile/22951/92472
Hoppy Feet 1.5,Clown Shoes,"Ipswich, MA",139,91,4.07,431,N/A,American Black Ale,10.00%,http://beeradvocate.com/beer/profile/22951/64750
Tramp Stamp,Clown Shoes,"Ipswich, MA",139,88,3.92,562,70,Belgian IPA,7.00%,http://beeradvocate.com/beer/profile/22951/65325
Vampire Slayer,Clown Shoes,"Ipswich, MA",139,92,4.14,618,N/A,American Double / Imperial Stout,10.00%,http://beeradvocate.com/beer/profile/22951/76896
Newport Storm - Will (Cyclone Series),Coastal Extreme Brewing Co.,"Newport, RI",44,N/A,3.32,5,78,American IPA,7.80%,http://beeradvocate.com/beer/profile/688/92502
Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co.,"Newport, RI",44,74,3.2,176,64,American Amber / Red Ale,5.20%,http://beeradvocate.com/beer/profile/688/3153
Newport Storm India Point Ale,Coastal Extreme Brewing Co.,"Newport, RI",44,87,3.96,20,90,American IPA,6.50%,http://beeradvocate.com/beer/profile/688/85241
Newport Storm Rhode Island Blueberry,Coastal Extreme Brewing Co.,"Newport, RI",44,77,3.34,81,70,Fruit / Vegetable Beer,4.60%,http://beeradvocate.com/beer/profile/688/31193
Newport Storm Summer Hefeweizen,Coastal Extreme Brewing Co.,"Newport, RI",44,77,3.17,14,80,Hefeweizen,4.50%,http://beeradvocate.com/beer/profile/688/80618
Honey Gingah Pale Ale,Cody Brewing Company,"Amesbury, MA",41,83,3.65,13,N/A,American Pale Ale (APA),4.50%,http://beeradvocate.com/beer/profile/16456/80569
