Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Belgian White,Long Trail Brewing Co.,"Bridgewaters Corners, VT",111,79,3.47,284,74,Witbier,4.70%,http://beeradvocate.com/beer/profile/94/41182
Jamaica Red Ale,Mad River Brewing Company,"Blue Lake, CA",115,87,3.88,333,98,American Amber / Red Ale,6.50%,http://beeradvocate.com/beer/profile/266/735
Jamaica Sunset India Pale Ale,Mad River Brewing Company,"Blue Lake, CA",115,82,3.6,183,90,American IPA,7.00%,http://beeradvocate.com/beer/profile/266/829
Steelhead Double India Pale Ale,Mad River Brewing Company,"Blue Lake, CA",115,86,3.83,562,85,American Double / Imperial IPA,8.60%,http://beeradvocate.com/beer/profile/266/29078
Steelhead Extra Pale Ale,Mad River Brewing Company,"Blue Lake, CA",115,81,3.56,274,89,American Pale Ale (APA),5.60%,http://beeradvocate.com/beer/profile/266/824
Steelhead Extra Stout,Mad River Brewing Company,"Blue Lake, CA",115,90,4.05,384,94,American Stout,6.60%,http://beeradvocate.com/beer/profile/266/1443
Steelhead Scotch Porter,Mad River Brewing Company,"Blue Lake, CA",115,88,3.95,262,94,English Porter,6.50%,http://beeradvocate.com/beer/profile/266/734
#9,Magic Hat Brewing Company,"South Burlington, VT",35,78,3.41,3204,74,Fruit / Vegetable Beer,5.10%,http://beeradvocate.com/beer/profile/96/299
Blind Faith,Magic Hat Brewing Company,"South Burlington, VT",35,82,3.61,827,77,English India Pale Ale (IPA),6.20%,http://beeradvocate.com/beer/profile/96/298
Circus Boy,Magic Hat Brewing Company,"South Burlington, VT",35,78,3.42,1145,88,American Pale Wheat Ale,4.50%,http://beeradvocate.com/beer/profile/96/28536
Elder Betty,Magic Hat Brewing Company,"South Burlington, VT",35,77,3.35,483,71,Hefeweizen,5.50%,http://beeradvocate.com/beer/profile/96/79835
Lunch,Maine Beer Company,"Portland, ME",30,97,4.38,1081,94,American IPA,7.00%,http://beeradvocate.com/beer/profile/20681/68916
MO,Maine Beer Company,"Portland, ME",30,95,4.29,561,100,American Pale Ale (APA),6.00%,http://beeradvocate.com/beer/profile/20681/78906
Saranac Pale Ale,Matt Brewing Company,"Utica, NY",11,78,3.44,807,80,English Pale Ale,5.50%,http://beeradvocate.com/beer/profile/99/914
Saranac White IPA,Matt Brewing Company,"Utica, NY",11,85,3.77,324,86,Belgian IPA,6.00%,http://beeradvocate.com/beer/profile/99/76375
Mayflower Golden Ale,Mayflower Brewing Company,"Plymouth, MA",100,82,3.64,117,90,American Blonde Ale,4.70%,http://beeradvocate.com/beer/profile/16105/42039
Mayflower IPA,Mayflower Brewing Company,"Plymouth, MA",100,88,3.93,333,84,American IPA,7.00%,http://beeradvocate.com/beer/profile/16105/42007
Mayflower Pale Ale,Mayflower Brewing Company,"Plymouth, MA",100,83,3.65,129,84,English Pale Ale,4.90%,http://beeradvocate.com/beer/profile/16105/40873
Mayflower Porter,Mayflower Brewing Company,"Plymouth, MA",100,93,4.17,325,100,English Porter,5.50%,http://beeradvocate.com/beer/profile/16105/41839
Entropy,Mystic Brewery,"Chelsea, MA",129,87,3.97,22,90,American Barleywine,14.20%,http://beeradvocate.com/beer/profile/24803/75962
Narragansett Bock,Narragansett Brewing Co.,"Providence, RI",91,86,3.85,200,95,Maibock / Helles Bock,6.50%,http://beeradvocate.com/beer/profile/213/66780
Narragansett Cream Ale,Narragansett Brewing Co.,"Providence, RI",91,81,3.54,137,85,Cream Ale,5.00%,http://beeradvocate.com/beer/profile/213/78605
Narragansett Lager,Narragansett Brewing Co.,"Providence, RI",91,78,3.41,523,88,American Adjunct Lager,5.00%,http://beeradvocate.com/beer/profile/213/7406
Narragansett Summer Ale,Narragansett Brewing Co.,"Providence, RI",91,85,3.8,227,80,American Blonde Ale,4.20%,http://beeradvocate.com/beer/profile/213/68147
Newburgh Cream Ale,Newburgh Brewing Company,"Newburgh, NY",97,86,3.96,13,93,Cream Ale,4.20%,http://beeradvocate.com/beer/profile/29419/83198
Newburyport Green Head IPA,Newburyport Brewing Company,"Newburyport, MA",142,85,3.82,22,90,American IPA,7.20%,http://beeradvocate.com/beer/profile/31441/92917
"Hop, Drop ân Roll",NoDa Brewing Company,"Charlotte, NC",110,94,4.35,47,90,American IPA,7.20%,http://beeradvocate.com/beer/profile/26990/75898
Jam Session,NoDa Brewing Company,"Charlotte, NC",110,86,3.87,19,85,American Pale Ale (APA),5.10%,http://beeradvocate.com/beer/profile/26990/90625
Brother Thelonious,North Coast Brewing Co.,"Fort Bragg, CA",5,85,3.77,1563,75,Belgian Strong Dark Ale,9.40%,http://beeradvocate.com/beer/profile/112/30282
Old Stock Ale,North Coast Brewing Co.,"Fort Bragg, CA",5,92,4.11,1843,94,Old Ale,11.90%,http://beeradvocate.com/beer/profile/112/1867
Pranqster,North Coast Brewing Co.,"Fort Bragg, CA",5,90,4.02,1793,100,Belgian Strong Pale Ale,7.60%,http://beeradvocate.com/beer/profile/112/411
Notch Session Ale,Notch Brewing,"Ipswich, MA",93,83,3.64,62,80,American Pale Ale (APA),4.50%,http://beeradvocate.com/beer/profile/22723/67108
Opa Opa IPA,OPA-OPA Steakhouse & Brewery,"Southampton, MA",137,82,3.64,169,80,American IPA,6.00%,http://beeradvocate.com/beer/profile/10279/20335
Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,"Southampton, MA",137,82,3.63,96,82,American Amber / Red Ale,6.00%,http://beeradvocate.com/beer/profile/10279/20336
